"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.igate.surveymanagement.bean","src/com/igate/surveymanagement/bean/AnswerBean.java","3","14","fieldCommentRequirement Required","Comments","CommentRequired"
"2","com.igate.surveymanagement.bean","src/com/igate/surveymanagement/bean/AnswerBean.java","3","15","fieldCommentRequirement Required","Comments","CommentRequired"
"3","com.igate.surveymanagement.bean","src/com/igate/surveymanagement/bean/AnswerBean.java","3","16","fieldCommentRequirement Required","Comments","CommentRequired"
"4","com.igate.surveymanagement.bean","src/com/igate/surveymanagement/bean/AnswerBean.java","3","17","publicMethodCommentRequirement Required","Comments","CommentRequired"
"5","com.igate.surveymanagement.bean","src/com/igate/surveymanagement/bean/AnswerBean.java","3","20","Parameter 'answer' is not assigned and could be declared final","Optimization","MethodArgumentCouldBeFinal"
"6","com.igate.surveymanagement.bean","src/com/igate/surveymanagement/bean/AnswerBean.java","3","20","publicMethodCommentRequirement Required","Comments","CommentRequired"
"7","com.igate.surveymanagement.bean","src/com/igate/surveymanagement/bean/AnswerBean.java","3","23","publicMethodCommentRequirement Required","Comments","CommentRequired"
"8","com.igate.surveymanagement.bean","src/com/igate/surveymanagement/bean/AnswerBean.java","3","26","Parameter 'userName' is not assigned and could be declared final","Optimization","MethodArgumentCouldBeFinal"
"9","com.igate.surveymanagement.bean","src/com/igate/surveymanagement/bean/AnswerBean.java","3","26","publicMethodCommentRequirement Required","Comments","CommentRequired"
"10","com.igate.surveymanagement.bean","src/com/igate/surveymanagement/bean/AnswerBean.java","3","29","publicMethodCommentRequirement Required","Comments","CommentRequired"
"11","com.igate.surveymanagement.bean","src/com/igate/surveymanagement/bean/AnswerBean.java","3","32","Parameter 'userId' is not assigned and could be declared final","Optimization","MethodArgumentCouldBeFinal"
"12","com.igate.surveymanagement.bean","src/com/igate/surveymanagement/bean/AnswerBean.java","3","32","publicMethodCommentRequirement Required","Comments","CommentRequired"
"13","com.igate.surveymanagement.bean","src/com/igate/surveymanagement/bean/OptionsBean.java","3","6","headerCommentRequirement Required","Comments","CommentRequired"
"14","com.igate.surveymanagement.bean","src/com/igate/surveymanagement/bean/OptionsBean.java","3","8","fieldCommentRequirement Required","Comments","CommentRequired"
"15","com.igate.surveymanagement.bean","src/com/igate/surveymanagement/bean/OptionsBean.java","3","9","fieldCommentRequirement Required","Comments","CommentRequired"
"16","com.igate.surveymanagement.bean","src/com/igate/surveymanagement/bean/OptionsBean.java","3","10","fieldCommentRequirement Required","Comments","CommentRequired"
"17","com.igate.surveymanagement.bean","src/com/igate/surveymanagement/bean/OptionsBean.java","3","12","publicMethodCommentRequirement Required","Comments","CommentRequired"
"18","com.igate.surveymanagement.bean","src/com/igate/surveymanagement/bean/OptionsBean.java","3","15","Parameter 'count' is not assigned and could be declared final","Optimization","MethodArgumentCouldBeFinal"
"19","com.igate.surveymanagement.bean","src/com/igate/surveymanagement/bean/OptionsBean.java","3","15","publicMethodCommentRequirement Required","Comments","CommentRequired"
"20","com.igate.surveymanagement.bean","src/com/igate/surveymanagement/bean/OptionsBean.java","3","18","publicMethodCommentRequirement Required","Comments","CommentRequired"
"21","com.igate.surveymanagement.bean","src/com/igate/surveymanagement/bean/OptionsBean.java","3","21","Parameter 'optionId' is not assigned and could be declared final","Optimization","MethodArgumentCouldBeFinal"
"22","com.igate.surveymanagement.bean","src/com/igate/surveymanagement/bean/OptionsBean.java","3","21","publicMethodCommentRequirement Required","Comments","CommentRequired"
"23","com.igate.surveymanagement.bean","src/com/igate/surveymanagement/bean/OptionsBean.java","3","24","publicMethodCommentRequirement Required","Comments","CommentRequired"
"24","com.igate.surveymanagement.bean","src/com/igate/surveymanagement/bean/OptionsBean.java","3","27","Parameter 'optionDesc' is not assigned and could be declared final","Optimization","MethodArgumentCouldBeFinal"
"25","com.igate.surveymanagement.bean","src/com/igate/surveymanagement/bean/OptionsBean.java","3","27","publicMethodCommentRequirement Required","Comments","CommentRequired"
"26","com.igate.surveymanagement.bean","src/com/igate/surveymanagement/bean/QuestionBean.java","3","9","headerCommentRequirement Required","Comments","CommentRequired"
"27","com.igate.surveymanagement.bean","src/com/igate/surveymanagement/bean/QuestionBean.java","3","10","fieldCommentRequirement Required","Comments","CommentRequired"
"28","com.igate.surveymanagement.bean","src/com/igate/surveymanagement/bean/QuestionBean.java","3","13","fieldCommentRequirement Required","Comments","CommentRequired"
"29","com.igate.surveymanagement.bean","src/com/igate/surveymanagement/bean/QuestionBean.java","3","16","fieldCommentRequirement Required","Comments","CommentRequired"
"30","com.igate.surveymanagement.bean","src/com/igate/surveymanagement/bean/QuestionBean.java","3","18","fieldCommentRequirement Required","Comments","CommentRequired"
"31","com.igate.surveymanagement.bean","src/com/igate/surveymanagement/bean/QuestionBean.java","3","19","fieldCommentRequirement Required","Comments","CommentRequired"
"32","com.igate.surveymanagement.bean","src/com/igate/surveymanagement/bean/QuestionBean.java","3","20","publicMethodCommentRequirement Required","Comments","CommentRequired"
"33","com.igate.surveymanagement.bean","src/com/igate/surveymanagement/bean/QuestionBean.java","3","23","Parameter 'quesId' is not assigned and could be declared final","Optimization","MethodArgumentCouldBeFinal"
"34","com.igate.surveymanagement.bean","src/com/igate/surveymanagement/bean/QuestionBean.java","3","23","publicMethodCommentRequirement Required","Comments","CommentRequired"
"35","com.igate.surveymanagement.bean","src/com/igate/surveymanagement/bean/QuestionBean.java","3","26","publicMethodCommentRequirement Required","Comments","CommentRequired"
"36","com.igate.surveymanagement.bean","src/com/igate/surveymanagement/bean/QuestionBean.java","3","29","Parameter 'quesText' is not assigned and could be declared final","Optimization","MethodArgumentCouldBeFinal"
"37","com.igate.surveymanagement.bean","src/com/igate/surveymanagement/bean/QuestionBean.java","3","29","publicMethodCommentRequirement Required","Comments","CommentRequired"
"38","com.igate.surveymanagement.bean","src/com/igate/surveymanagement/bean/QuestionBean.java","3","32","publicMethodCommentRequirement Required","Comments","CommentRequired"
"39","com.igate.surveymanagement.bean","src/com/igate/surveymanagement/bean/QuestionBean.java","3","35","Parameter 'quesType' is not assigned and could be declared final","Optimization","MethodArgumentCouldBeFinal"
"40","com.igate.surveymanagement.bean","src/com/igate/surveymanagement/bean/QuestionBean.java","3","35","publicMethodCommentRequirement Required","Comments","CommentRequired"
"41","com.igate.surveymanagement.bean","src/com/igate/surveymanagement/bean/QuestionBean.java","3","39","publicMethodCommentRequirement Required","Comments","CommentRequired"
"42","com.igate.surveymanagement.bean","src/com/igate/surveymanagement/bean/QuestionBean.java","3","42","Parameter 'options' is not assigned and could be declared final","Optimization","MethodArgumentCouldBeFinal"
"43","com.igate.surveymanagement.bean","src/com/igate/surveymanagement/bean/QuestionBean.java","3","42","publicMethodCommentRequirement Required","Comments","CommentRequired"
"44","com.igate.surveymanagement.bean","src/com/igate/surveymanagement/bean/QuestionBean.java","3","45","publicMethodCommentRequirement Required","Comments","CommentRequired"
"45","com.igate.surveymanagement.bean","src/com/igate/surveymanagement/bean/QuestionBean.java","3","48","Parameter 'answers' is not assigned and could be declared final","Optimization","MethodArgumentCouldBeFinal"
"46","com.igate.surveymanagement.bean","src/com/igate/surveymanagement/bean/QuestionBean.java","3","48","publicMethodCommentRequirement Required","Comments","CommentRequired"
"47","com.igate.surveymanagement.bean","src/com/igate/surveymanagement/bean/QuestionBean.java","3","51","publicMethodCommentRequirement Required","Comments","CommentRequired"
"48","com.igate.surveymanagement.bean","src/com/igate/surveymanagement/bean/QuestionBean.java","3","55","Parameter 'options' is not assigned and could be declared final","Optimization","MethodArgumentCouldBeFinal"
"49","com.igate.surveymanagement.bean","src/com/igate/surveymanagement/bean/QuestionBean.java","3","55","Parameter 'quesText' is not assigned and could be declared final","Optimization","MethodArgumentCouldBeFinal"
"50","com.igate.surveymanagement.bean","src/com/igate/surveymanagement/bean/QuestionBean.java","3","55","Parameter 'quesType' is not assigned and could be declared final","Optimization","MethodArgumentCouldBeFinal"
"51","com.igate.surveymanagement.bean","src/com/igate/surveymanagement/bean/QuestionBean.java","3","55","publicMethodCommentRequirement Required","Comments","CommentRequired"
"52","com.igate.surveymanagement.bean","src/com/igate/surveymanagement/bean/QuestionBean.java","3","62","publicMethodCommentRequirement Required","Comments","CommentRequired"
"53","com.igate.surveymanagement.bean","src/com/igate/surveymanagement/bean/SurveyBean.java","3","11","headerCommentRequirement Required","Comments","CommentRequired"
"54","com.igate.surveymanagement.bean","src/com/igate/surveymanagement/bean/SurveyBean.java","3","12","fieldCommentRequirement Required","Comments","CommentRequired"
"55","com.igate.surveymanagement.bean","src/com/igate/surveymanagement/bean/SurveyBean.java","3","14","fieldCommentRequirement Required","Comments","CommentRequired"
"56","com.igate.surveymanagement.bean","src/com/igate/surveymanagement/bean/SurveyBean.java","3","16","fieldCommentRequirement Required","Comments","CommentRequired"
"57","com.igate.surveymanagement.bean","src/com/igate/surveymanagement/bean/SurveyBean.java","3","17","fieldCommentRequirement Required","Comments","CommentRequired"
"58","com.igate.surveymanagement.bean","src/com/igate/surveymanagement/bean/SurveyBean.java","3","18","fieldCommentRequirement Required","Comments","CommentRequired"
"59","com.igate.surveymanagement.bean","src/com/igate/surveymanagement/bean/SurveyBean.java","3","19","fieldCommentRequirement Required","Comments","CommentRequired"
"60","com.igate.surveymanagement.bean","src/com/igate/surveymanagement/bean/SurveyBean.java","3","20","publicMethodCommentRequirement Required","Comments","CommentRequired"
"61","com.igate.surveymanagement.bean","src/com/igate/surveymanagement/bean/SurveyBean.java","3","23","Parameter 'surveyId' is not assigned and could be declared final","Optimization","MethodArgumentCouldBeFinal"
"62","com.igate.surveymanagement.bean","src/com/igate/surveymanagement/bean/SurveyBean.java","3","23","publicMethodCommentRequirement Required","Comments","CommentRequired"
"63","com.igate.surveymanagement.bean","src/com/igate/surveymanagement/bean/SurveyBean.java","3","26","publicMethodCommentRequirement Required","Comments","CommentRequired"
"64","com.igate.surveymanagement.bean","src/com/igate/surveymanagement/bean/SurveyBean.java","3","29","Parameter 'surveyTitle' is not assigned and could be declared final","Optimization","MethodArgumentCouldBeFinal"
"65","com.igate.surveymanagement.bean","src/com/igate/surveymanagement/bean/SurveyBean.java","3","29","publicMethodCommentRequirement Required","Comments","CommentRequired"
"66","com.igate.surveymanagement.bean","src/com/igate/surveymanagement/bean/SurveyBean.java","3","32","publicMethodCommentRequirement Required","Comments","CommentRequired"
"67","com.igate.surveymanagement.bean","src/com/igate/surveymanagement/bean/SurveyBean.java","3","35","Parameter 'surveyDescription' is not assigned and could be declared final","Optimization","MethodArgumentCouldBeFinal"
"68","com.igate.surveymanagement.bean","src/com/igate/surveymanagement/bean/SurveyBean.java","3","35","publicMethodCommentRequirement Required","Comments","CommentRequired"
"69","com.igate.surveymanagement.bean","src/com/igate/surveymanagement/bean/SurveyBean.java","3","38","publicMethodCommentRequirement Required","Comments","CommentRequired"
"70","com.igate.surveymanagement.bean","src/com/igate/surveymanagement/bean/SurveyBean.java","3","41","Parameter 'distributionId' is not assigned and could be declared final","Optimization","MethodArgumentCouldBeFinal"
"71","com.igate.surveymanagement.bean","src/com/igate/surveymanagement/bean/SurveyBean.java","3","41","publicMethodCommentRequirement Required","Comments","CommentRequired"
"72","com.igate.surveymanagement.bean","src/com/igate/surveymanagement/bean/SurveyBean.java","3","45","publicMethodCommentRequirement Required","Comments","CommentRequired"
"73","com.igate.surveymanagement.bean","src/com/igate/surveymanagement/bean/SurveyBean.java","3","48","Parameter 'distributionDate' is not assigned and could be declared final","Optimization","MethodArgumentCouldBeFinal"
"74","com.igate.surveymanagement.bean","src/com/igate/surveymanagement/bean/SurveyBean.java","3","48","publicMethodCommentRequirement Required","Comments","CommentRequired"
"75","com.igate.surveymanagement.bean","src/com/igate/surveymanagement/bean/SurveyBean.java","3","51","publicMethodCommentRequirement Required","Comments","CommentRequired"
"76","com.igate.surveymanagement.bean","src/com/igate/surveymanagement/bean/SurveyBean.java","3","54","Parameter 'expiryDate' is not assigned and could be declared final","Optimization","MethodArgumentCouldBeFinal"
"77","com.igate.surveymanagement.bean","src/com/igate/surveymanagement/bean/SurveyBean.java","3","54","publicMethodCommentRequirement Required","Comments","CommentRequired"
"78","com.igate.surveymanagement.bean","src/com/igate/surveymanagement/bean/SurveyBean.java","3","57","Avoid unnecessary constructors - the compiler will generate these for you","Controversial","UnnecessaryConstructor"
"79","com.igate.surveymanagement.bean","src/com/igate/surveymanagement/bean/SurveyBean.java","3","57","publicMethodCommentRequirement Required","Comments","CommentRequired"
"80","com.igate.surveymanagement.bean","src/com/igate/surveymanagement/bean/UserBean.java","3","9","headerCommentRequirement Required","Comments","CommentRequired"
"81","com.igate.surveymanagement.bean","src/com/igate/surveymanagement/bean/UserBean.java","3","11","publicMethodCommentRequirement Required","Comments","CommentRequired"
"82","com.igate.surveymanagement.bean","src/com/igate/surveymanagement/bean/UserBean.java","3","16","fieldCommentRequirement Required","Comments","CommentRequired"
"83","com.igate.surveymanagement.bean","src/com/igate/surveymanagement/bean/UserBean.java","3","17","fieldCommentRequirement Required","Comments","CommentRequired"
"84","com.igate.surveymanagement.bean","src/com/igate/surveymanagement/bean/UserBean.java","3","18","fieldCommentRequirement Required","Comments","CommentRequired"
"85","com.igate.surveymanagement.bean","src/com/igate/surveymanagement/bean/UserBean.java","3","19","fieldCommentRequirement Required","Comments","CommentRequired"
"86","com.igate.surveymanagement.bean","src/com/igate/surveymanagement/bean/UserBean.java","3","20","fieldCommentRequirement Required","Comments","CommentRequired"
"87","com.igate.surveymanagement.bean","src/com/igate/surveymanagement/bean/UserBean.java","3","21","fieldCommentRequirement Required","Comments","CommentRequired"
"88","com.igate.surveymanagement.bean","src/com/igate/surveymanagement/bean/UserBean.java","3","23","publicMethodCommentRequirement Required","Comments","CommentRequired"
"89","com.igate.surveymanagement.bean","src/com/igate/surveymanagement/bean/UserBean.java","3","26","Parameter 'activeUser' is not assigned and could be declared final","Optimization","MethodArgumentCouldBeFinal"
"90","com.igate.surveymanagement.bean","src/com/igate/surveymanagement/bean/UserBean.java","3","26","publicMethodCommentRequirement Required","Comments","CommentRequired"
"91","com.igate.surveymanagement.bean","src/com/igate/surveymanagement/bean/UserBean.java","3","30","publicMethodCommentRequirement Required","Comments","CommentRequired"
